,model name,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,with-r-last@reduce time,base-rules@answer
2,JoinFreeModules-PT-0004,0.01,30.03,0.000333000333000333,1672141,1725957,0.9688196171747037,8.1e-05,TRUE
1,JoinFreeModules-PT-0020,0.01,20.16,0.000496031746031746,83491,90796,0.9195449138728579,0.000215,FALSE
3,JoinFreeModules-PT-0004,0.02,20.07,0.000996512207274539,1672141,1699049,0.9841629052487597,7.6e-05,TRUE
0,JoinFreeModules-PT-0200,0.04,20.22,0.001978239366963403,559224451,626556091,0.8925369317014588,0.004012,TRUE
342,DiscoveryGPU-PT-15b,0.01,3.74,0.00267379679144385,16,16,1.0,0.001264,FALSE
80,HealthRecord-PT-01,0.01,1.77,0.005649717514124294,147,147,1.0,0.000732,FALSE
319,CSRepetitions-PT-03,0.01,1.67,0.005988023952095809,870090,870090,1.0,0.000206,TRUE
371,GPPP-PT-C1000N0000000010,0.01,1.63,0.006134969325153374,87963465,87963465,1.0,7.6e-05,FALSE
317,CSRepetitions-PT-05,0.01,1.56,0.00641025641025641,3,3,1.0,0.001005,TRUE
171,RwMutex-PT-r0010w0100,0.01,1.45,0.006896551724137932,1,1,1.0,0.000616,NONE
236,GPUForwardProgress-PT-28a,0.01,1.4,0.0071428571428571435,3,3,1.0,0.001056,FALSE
305,AutoFlight-PT-01a,0.01,1.38,0.007246376811594204,1,1,1.0,6.4e-05,NONE
260,ClientsAndServers-PT-N0002P0,0.01,1.37,0.0072992700729927005,991049,991049,1.0,3.7e-05,FALSE
169,RwMutex-PT-r0010w0500,0.01,1.36,0.007352941176470588,1,1,1.0,0.002866,NONE
368,GPPP-PT-C1000N0000000010,0.02,2.65,0.007547169811320755,38585169,38585169,1.0,7.6e-05,FALSE
234,GPUForwardProgress-PT-40b,0.01,1.31,0.007633587786259542,89,89,1.0,0.001785,TRUE
369,GPPP-PT-C1000N0000000010,0.01,1.27,0.007874015748031496,38585170,38585170,1.0,6.8e-05,FALSE
363,FamilyReunion-PT-L00100M0010C005P005G002,0.03,3.77,0.007957559681697613,9,9,1.0,0.179221,FALSE
164,SatelliteMemory-PT-X01500Y0046,0.01,1.21,0.008264462809917356,46503907,46503907,1.0,1.9e-05,TRUE
370,GPPP-PT-C1000N0000000010,0.01,1.19,0.008403361344537816,87963464,87963464,1.0,7.3e-05,TRUE
315,CircadianClock-PT-000010,0.01,1.15,0.008695652173913044,6766321,6766321,1.0,2.1e-05,FALSE
256,CloudReconfiguration-PT-307,0.01,1.12,0.008928571428571428,323,323,1.0,0.018886,TRUE
147,ResAllocation-PT-R010C002,0.01,1.11,0.009009009009009009,7873,7873,1.0,7.8e-05,FALSE
316,CSRepetitions-PT-07,0.01,1.09,0.009174311926605503,4369,4369,1.0,0.631718,FALSE
454,HealthRecord-PT-16,0.01,1.07,0.009345794392523364,19197,14735,1.3028164234815067,0.001792,FALSE
321,CANConstruction-PT-005,0.01,1.05,0.009523809523809523,22623,22623,1.0,0.000234,FALSE
170,RwMutex-PT-r0010w0500,0.01,1.05,0.009523809523809523,7,7,1.0,0.003497,FALSE
320,CANConstruction-PT-005,0.01,1.02,0.00980392156862745,27414,27414,1.0,0.00024,FALSE
297,AutoFlight-PT-05b,0.02,1.71,0.011695906432748539,67,67,1.0,0.000943,FALSE
477,HealthRecord-PT-01,0.02,1.49,0.013422818791946308,598188,23766,25.16990658924514,0.00108,FALSE
437,BusinessProcesses-PT-18,0.02,1.42,0.014084507042253521,2472321,2470273,1.0008290581648263,0.001271,TRUE
460,CloudReconfiguration-PT-310,0.02,1.36,0.014705882352941176,3357218,573946,5.849362135113756,0.028963,FALSE
472,CloudReconfiguration-PT-311,0.02,1.31,0.015267175572519083,2327065,247113,9.417007603808784,0.029125,TRUE
86,IOTPpurchase-PT-C01M01P01D01,0.02,1.23,0.016260162601626018,1,1,1.0,0.000121,NONE
257,CloudReconfiguration-PT-306,0.02,1.22,0.01639344262295082,39,39,1.0,0.018554,TRUE
294,AutoFlight-PT-12a,0.03,1.77,0.01694915254237288,82,82,1.0,0.000823,FALSE
146,ResAllocation-PT-R005C002,0.02,1.14,0.01754385964912281,241,241,1.0,2.1e-05,TRUE
172,RwMutex-PT-r0010w0050,0.02,1.14,0.01754385964912281,15,15,1.0,0.000335,TRUE
300,AutoFlight-PT-04b,0.03,1.67,0.017964071856287425,120,120,1.0,0.000769,FALSE
278,GPUForwardProgress-PT-28b,0.02,1.04,0.019230769230769232,133,133,1.0,0.001378,TRUE
318,CSRepetitions-PT-04,0.02,1.03,0.019417475728155338,3,3,1.0,0.000489,TRUE
383,GPPP-PT-C0001N0000000010,0.02,1.03,0.019417475728155338,2514,2514,1.0,6.9e-05,TRUE
293,AutoFlight-PT-12b,0.03,1.46,0.02054794520547945,1642,1642,1.0,0.002221,FALSE
298,AutoFlight-PT-05a,0.03,1.43,0.02097902097902098,5414,5414,1.0,0.000318,TRUE
75,IBMB2S565S3960-PT-none,0.03,1.37,0.0218978102189781,3358,3358,1.0,0.000692,TRUE
308,AirplaneLD-PT-0050,0.03,1.29,0.023255813953488372,1609,1609,1.0,0.001625,TRUE
439,BusinessProcesses-PT-19,0.03,1.27,0.023622047244094488,1624386,1622338,1.001262375657847,0.001636,FALSE
469,CloudReconfiguration-PT-308,0.03,1.27,0.023622047244094488,5526423,646533,8.547781783760458,0.029722,TRUE
322,CANConstruction-PT-005,0.03,1.2,0.025,19892,19892,1.0,0.000234,FALSE
222,Philosophers-PT-000200,0.03,1.17,0.02564102564102564,767233,767233,1.0,0.001369,FALSE
438,BusinessProcesses-PT-18,0.03,1.06,0.028301886792452827,49433857,49391873,1.0008500183825788,0.001397,FALSE
311,AutoFlight-PT-04a,0.04,1.37,0.029197080291970802,410,410,1.0,0.000262,FALSE
306,AirplaneLD-PT-2000,0.03,1.01,0.0297029702970297,125,125,1.0,0.839487,FALSE
302,AutoFlight-PT-03a,0.04,1.23,0.032520325203252036,42,42,1.0,0.000203,TRUE
470,CloudReconfiguration-PT-304,0.05,1.46,0.03424657534246576,9083840,1057929,8.586436329848222,0.03457,FALSE
77,IBM319-PT-none,0.05,1.4,0.03571428571428572,12,12,1.0,0.000656,FALSE
344,Diffusion2D-PT-D10N010,0.05,1.34,0.03731343283582089,21,21,1.0,0.010121,TRUE
223,Philosophers-PT-000020,0.04,1.04,0.038461538461538464,673,673,1.0,0.000202,TRUE
173,RobotManipulation-PT-00001,0.04,1.0,0.04,73,73,1.0,3.6e-05,TRUE
152,SmartHome-PT-18,0.05,1.19,0.04201680672268908,57,57,1.0,0.001067,TRUE
467,CloudReconfiguration-PT-305,0.06,1.41,0.0425531914893617,6282531,741371,8.474206571338776,0.03293,FALSE
78,HouseConstruction-PT-00500,0.06,1.38,0.043478260869565216,250501,250501,1.0,4.4e-05,TRUE
309,AirplaneLD-PT-0010,0.05,1.11,0.04504504504504504,183665,183665,1.0,0.000163,FALSE
366,GPPP-PT-C1000N0000000010,0.1,1.97,0.05076142131979696,38585169,38585169,1.0,7.4e-05,TRUE
258,ClientsAndServers-PT-N0005P0,0.08,1.55,0.05161290322580645,415142640,415142640,1.0,4.2e-05,FALSE
301,AutoFlight-PT-03b,0.09,1.74,0.05172413793103448,13,13,1.0,0.000343,FALSE
445,DLCshifumi-PT-6a,0.06,1.11,0.05405405405405405,566,558,1.014336917562724,0.664942,TRUE
443,ASLink-PT-01a,0.32,5.57,0.05745062836624775,35136997,35040539,1.0027527544596275,0.003214,FALSE
343,Diffusion2D-PT-D10N050,0.06,1.03,0.058252427184466014,5101,5101,1.0,0.010755,FALSE
463,CloudReconfiguration-PT-303,0.08,1.36,0.058823529411764705,1094516,163099,6.710746233882489,0.028748,FALSE
453,IBM703-PT-none,0.07,1.19,0.05882352941176471,55,47,1.1702127659574468,0.001482,TRUE
296,AutoFlight-PT-06a,0.1,1.64,0.06097560975609757,2754,2754,1.0,0.000394,TRUE
74,IOTPpurchase-PT-C03M03P03D03,0.07,1.14,0.061403508771929835,74552,74552,1.0,0.000181,FALSE
286,ClientsAndServers-PT-N0002P0,0.07,1.12,0.0625,4651770,4651770,1.0,4.1e-05,FALSE
367,GPPP-PT-C1000N0000000010,0.09,1.34,0.06716417910447761,38585169,38585169,1.0,7e-05,TRUE
295,AutoFlight-PT-06b,0.11,1.63,0.06748466257668712,663817,663817,1.0,0.001162,TRUE
351,DrinkVendingMachine-PT-10,0.09,1.26,0.07142857142857142,866,866,1.0,27.4355,FALSE
307,AirplaneLD-PT-0500,0.09,1.23,0.07317073170731707,756506,756506,1.0,0.120582,FALSE
76,IBM5964-PT-none,0.09,1.19,0.07563025210084033,49,49,1.0,0.000553,TRUE
79,HealthRecord-PT-07,0.08,1.02,0.0784313725490196,1360,1360,1.0,0.000909,FALSE
476,HealthRecord-PT-01,0.1,1.1,0.09090909090909091,122628,6006,20.417582417582416,0.001093,FALSE
303,AutoFlight-PT-02b,0.16,1.6,0.09999999999999999,92,92,1.0,0.0004,FALSE
461,CloudReconfiguration-PT-313,0.14,1.38,0.10144927536231886,4227318,719836,5.872612650659317,0.028674,FALSE
372,GPPP-PT-C0010N0000000100,0.12,1.18,0.1016949152542373,72744304,72744304,1.0,6.8e-05,TRUE
304,AutoFlight-PT-02a,0.17,1.63,0.10429447852760737,30,30,1.0,0.000147,TRUE
15,ARMCacheCoherence-PT-none,0.17,1.35,0.1259259259259259,208946562,208946562,1.0,0.589378,FALSE
16,MultiCrashLeafsetExtension-PT-S24C02,0.34,2.39,0.14225941422594143,91621,91621,1.0,0.105944,FALSE
329,BridgeAndVehicles-PT-V20P20N50,0.17,1.19,0.14285714285714288,4123760,4123760,1.0,0.104316,FALSE
373,GPPP-PT-C0001N0000100000,0.15,1.04,0.14423076923076922,8351,8351,1.0,8.1e-05,FALSE
102,MultiCrashLeafsetExtension-PT-S16C06,0.47,3.02,0.15562913907284767,10769428,10769428,1.0,0.081626,FALSE
85,GlobalResAllocation-PT-03,0.16,1.0,0.16,61309,61309,1.0,0.036808,TRUE
89,MultiCrashLeafsetExtension-PT-S16C04,0.43,2.44,0.1762295081967213,1135395,1135395,1.0,0.045774,FALSE
212,PhilosophersDyn-PT-20,0.6,3.4,0.17647058823529413,12961311,12961311,1.0,0.905485,FALSE
14,MultiCrashLeafsetExtension-PT-S24C02,0.57,3.02,0.18874172185430463,91604,91604,1.0,0.106398,FALSE
82,GlobalResAllocation-PT-03,0.24,1.2,0.2,61309,61309,1.0,0.036542,FALSE
22,MultiCrashLeafsetExtension-PT-S24C02,0.89,3.79,0.23482849604221637,91710,91710,1.0,0.107016,FALSE
149,TokenRing-PT-015,0.38,1.54,0.24675324675324675,265182781,265182781,1.0,0.005112,TRUE
288,CircularTrains-PT-024,0.4,1.6,0.25,411681,411681,1.0,3.6e-05,FALSE
6,MultiCrashLeafsetExtension-PT-S24C03,0.69,2.54,0.2716535433070866,1097173,1097173,1.0,0.158629,FALSE
287,ClientsAndServers-PT-N0001P0,0.28,1.0,0.28,2007,2007,1.0,6.7e-05,FALSE
65,MultiCrashLeafsetExtension-PT-S16C02,0.3,1.04,0.28846153846153844,28431,28431,1.0,0.022181,FALSE
18,MultiCrashLeafsetExtension-PT-S24C02,1.32,4.4,0.3,91760,91760,1.0,0.148536,TRUE
27,MultiCrashLeafsetExtension-PT-S16C07,0.42,1.22,0.3442622950819672,22721038,22721038,1.0,0.104021,FALSE
207,PhilosophersDyn-PT-20,0.37,1.02,0.3627450980392157,12961311,12961311,1.0,0.942356,TRUE
190,MultiCrashLeafsetExtension-PT-S32C03,2.14,5.65,0.3787610619469027,3387909,3387909,1.0,0.553565,FALSE
55,MultiCrashLeafsetExtension-PT-S24C03,0.93,2.35,0.39574468085106385,1097500,1097500,1.0,0.158362,FALSE
111,MultiCrashLeafsetExtension-PT-S16C05,2.07,5.15,0.4019417475728155,4029327,4029327,1.0,0.061569,TRUE
142,PhilosophersDyn-PT-20,0.84,1.96,0.42857142857142855,12961311,12961311,1.0,0.958945,TRUE
44,MultiCrashLeafsetExtension-PT-S24C04,1.12,2.54,0.44094488188976383,8411644,8411644,1.0,0.228889,TRUE
448,ASLink-PT-01b,0.74,1.67,0.4431137724550898,136141919,131438923,1.0357808470478718,0.004346,TRUE
9,MultiCrashLeafsetExtension-PT-S24C02,0.7,1.54,0.45454545454545453,91639,91639,1.0,0.105977,FALSE
19,MultiCrashLeafsetExtension-PT-S24C02,1.78,3.79,0.46965699208443273,91653,91653,1.0,0.108791,TRUE
231,NeighborGrid-PT-d5n4m1t35,5.1,10.76,0.4739776951672862,200280065,200280065,1.0,300.0,TRUE
107,MultiCrashLeafsetExtension-PT-S16C05,0.64,1.33,0.48120300751879697,4039938,4039938,1.0,0.061941,FALSE
197,MultiCrashLeafsetExtension-PT-S32C02,0.69,1.42,0.48591549295774644,212030,212030,1.0,0.345927,TRUE
10,MultiCrashLeafsetExtension-PT-S24C02,0.77,1.57,0.49044585987261147,91788,91788,1.0,0.107477,FALSE
450,ASLink-PT-01b,0.86,1.75,0.49142857142857144,71514204,68719727,1.0406648443175568,0.004362,FALSE
118,MultiCrashLeafsetExtension-PT-S32C02,3.77,7.45,0.5060402684563758,211962,211962,1.0,0.349422,FALSE
7,MultiCrashLeafsetExtension-PT-S24C02,0.93,1.83,0.5081967213114754,91637,91637,1.0,0.105685,FALSE
61,MultiCrashLeafsetExtension-PT-S16C07,0.62,1.19,0.5210084033613446,22690231,22690231,1.0,0.104257,FALSE
101,MultiCrashLeafsetExtension-PT-S16C06,0.87,1.65,0.5272727272727273,10813343,10813343,1.0,0.08124,FALSE
47,MultiCrashLeafsetExtension-PT-S24C04,0.72,1.35,0.5333333333333333,8427228,8427228,1.0,0.228062,FALSE
177,PhilosophersDyn-PT-20,0.62,1.16,0.5344827586206897,12961311,12961311,1.0,0.930013,FALSE
230,NeighborGrid-PT-d5n4m1t35,3.95,7.25,0.5448275862068965,200280065,200280065,1.0,300.0,TRUE
447,ASLink-PT-01b,4.17,7.47,0.5582329317269077,53044546,51732664,1.025358871911178,0.003755,FALSE
37,MultiCrashLeafsetExtension-PT-S24C04,0.79,1.37,0.5766423357664233,8413182,8413182,1.0,0.231897,FALSE
205,NeighborGrid-PT-d5n4m1t35,3.43,5.84,0.5873287671232877,200280065,200280065,1.0,300.0,FALSE
59,MultiCrashLeafsetExtension-PT-S16C07,0.61,1.02,0.5980392156862745,22686083,22686083,1.0,0.103772,FALSE
21,MultiCrashLeafsetExtension-PT-S24C02,0.72,1.2,0.6,91615,91615,1.0,0.106068,TRUE
181,MultiCrashLeafsetExtension-PT-S32C03,1.28,2.05,0.6243902439024391,3387982,3387982,1.0,0.548485,TRUE
93,MultiCrashLeafsetExtension-PT-S16C06,1.59,2.46,0.6463414634146342,10789093,10789093,1.0,0.081093,FALSE
314,BridgeAndVehicles-PT-V20P10N50,0.77,1.19,0.6470588235294118,4123760,4123760,1.0,0.104017,TRUE
192,MultiCrashLeafsetExtension-PT-S32C03,2.24,3.45,0.6492753623188406,3388314,3388314,1.0,0.550079,FALSE
40,MultiCrashLeafsetExtension-PT-S24C04,0.98,1.5,0.6533333333333333,8411345,8411345,1.0,0.229456,FALSE
35,MultiCrashLeafsetExtension-PT-S32C02,2.03,3.09,0.656957928802589,211980,211980,1.0,0.34798,FALSE
72,JoinFreeModules-PT-0003,20.02,30.15,0.6640132669983416,4555,4555,1.0,6.5e-05,FALSE
4,JoinFreeModules-PT-0004,20.01,30.13,0.6641221374045803,138230241,139898537,0.9880749574958029,5.6e-05,FALSE
17,MultiCrashLeafsetExtension-PT-S24C02,3.6,5.42,0.6642066420664207,91648,91648,1.0,0.105729,TRUE
49,MultiCrashLeafsetExtension-PT-S24C03,2.02,3.0,0.6733333333333333,1097294,1097294,1.0,0.160551,TRUE
333,BridgeAndVehicles-PT-V20P20N50,1.33,1.97,0.6751269035532995,4123760,4123760,1.0,0.103098,TRUE
8,MultiCrashLeafsetExtension-PT-S24C02,1.33,1.9,0.7000000000000001,91947,91947,1.0,0.105634,TRUE
384,GPPP-PT-C0001N0000000010,0.75,1.07,0.7009345794392523,5400,5400,1.0,7.7e-05,TRUE
12,MultiCrashLeafsetExtension-PT-S24C02,4.03,5.68,0.7095070422535212,91578,91578,1.0,0.10604,TRUE
221,PhilosophersDyn-PT-10,3.65,5.12,0.712890625,617306,617306,1.0,0.034043,TRUE
100,MultiCrashLeafsetExtension-PT-S16C06,1.05,1.47,0.7142857142857143,10766423,10766423,1.0,0.081633,TRUE
64,MultiCrashLeafsetExtension-PT-S16C02,0.73,1.02,0.7156862745098039,28428,28428,1.0,0.022236,TRUE
182,MultiCrashLeafsetExtension-PT-S32C03,1.16,1.62,0.7160493827160492,3387982,3387982,1.0,0.540046,TRUE
201,MultiCrashLeafsetExtension-PT-S32C02,0.89,1.23,0.7235772357723578,212043,212043,1.0,0.350094,FALSE
442,ASLink-PT-01a,1.14,1.41,0.8085106382978723,47479739,47349724,1.0027458449388216,0.002691,TRUE
196,MultiCrashLeafsetExtension-PT-S32C02,1.46,1.8,0.8111111111111111,211962,211962,1.0,0.347414,FALSE
13,MultiCrashLeafsetExtension-PT-S24C02,3.57,4.4,0.8113636363636363,91578,91578,1.0,0.105916,FALSE
60,MultiCrashLeafsetExtension-PT-S16C07,8.36,10.26,0.8148148148148148,22688376,22688376,1.0,0.104332,TRUE
441,ASLink-PT-01a,2.56,3.14,0.8152866242038216,35551509,35454491,1.0027364093310491,0.003259,TRUE
334,BridgeAndVehicles-PT-V20P20N20,2.04,2.5,0.8160000000000001,4123042,4123042,1.0,0.020088,FALSE
193,MultiCrashLeafsetExtension-PT-S32C03,3.51,4.11,0.8540145985401458,3388759,3388759,1.0,0.531527,TRUE
11,MultiCrashLeafsetExtension-PT-S24C02,3.28,3.84,0.8541666666666666,91658,91658,1.0,0.106067,TRUE
20,MultiCrashLeafsetExtension-PT-S24C02,5.71,6.66,0.8573573573573573,91589,91589,1.0,0.106066,FALSE
48,MultiCrashLeafsetExtension-PT-S24C04,1.65,1.92,0.859375,8411893,8411893,1.0,0.227959,FALSE
112,MultiCrashLeafsetExtension-PT-S16C04,1.54,1.79,0.8603351955307262,1135365,1135365,1.0,0.045799,FALSE
70,JoinFreeModules-PT-0005,1.64,1.9,0.8631578947368421,8529637,8529637,1.0,8.1e-05,FALSE
123,PolyORBLF-PT-S02J06T06,1.66,1.92,0.8645833333333334,67675321,67675321,1.0,0.003296,TRUE
178,MultiCrashLeafsetExtension-PT-S32C03,16.52,18.9,0.8740740740740741,3387772,3387772,1.0,0.532999,TRUE
