,model name,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,with-r-last@reduce time,base-rules@answer
243,DNAwalker-PT-02track12Block2,9.67,9.69,0.9979360165118679,9076,9076,1.0,0.000189,FALSE
432,DNAwalker-PT-10ringRL,138.75,139.03,0.9979860461770841,176407915,176407915,1.0,0.000247,FALSE
379,GPPP-PT-C0001N0000001000,20.01,20.05,0.9980049875311721,2515,2515,1.0,7e-05,FALSE
155,ShieldRVs-PT-001B,10.05,10.07,0.9980139026812315,376,376,1.0,9.2e-05,FALSE
195,MultiCrashLeafsetExtension-PT-S32C02,22.59,22.63,0.9982324348210341,212028,212028,1.0,0.347275,FALSE
455,ShieldRVt-PT-005B,30.05,30.1,0.9983388704318936,189465601,126842881,1.4937030719130386,0.00054,FALSE
167,SatelliteMemory-PT-X01000Y0032,20.06,20.09,0.9985067197610751,20618551,20618551,1.0,5.2e-05,TRUE
126,PolyORBLF-PT-S02J06T06,7.34,7.35,0.998639455782313,94737001,94737001,1.0,0.003209,FALSE
34,MultiCrashLeafsetExtension-PT-S32C02,18.65,18.67,0.9989287627209426,211996,211996,1.0,0.361124,FALSE
332,BridgeAndVehicles-PT-V20P20N50,19.24,19.26,0.9989615784008306,34345799,34345799,1.0,0.067377,TRUE
291,BridgeAndVehicles-PT-V20P10N20,10.46,10.47,0.9990448901623687,31773043,31773043,1.0,0.012495,TRUE
395,DNAwalker-PT-10ringRL,185.44,185.6,0.9991379310344828,176407915,176407915,1.0,0.000244,TRUE
216,PhilosophersDyn-PT-10,12.45,12.46,0.9991974317817013,617306,617306,1.0,0.047079,FALSE
279,DNAwalker-PT-03track12BlockBoth,30.03,30.04,0.9996671105193077,17268,17268,1.0,6.5e-05,TRUE
388,DNAwalker-PT-11ringRR,31.11,31.12,0.9996786632390745,11631384,11631384,1.0,0.000693,FALSE
247,DNAwalker-PT-03track12BlockBoth,33.15,33.16,0.9996984318455971,15811,15811,1.0,6.5e-05,FALSE
274,DNAwalker-PT-04track28LL,300.05,300.09,0.9998667066546704,246988215,246988215,1.0,0.00053,NONE
354,DNAwalker-PT-12ringLLLarge,300.04,300.07,0.9999000233278903,757689713,757689713,1.0,0.000839,NONE
348,DNAwalker-PT-14ringLRLarge,300.03,300.05,0.9999333444425927,764788707,764788707,1.0,0.000826,NONE
272,DNAwalker-PT-04track28LL,300.03,300.05,0.9999333444425927,155085797,155085797,1.0,0.000522,NONE
347,DNAwalker-PT-14ringLRLarge,300.04,300.06,0.9999333466640006,757830394,757830394,1.0,0.000831,NONE
128,PolyORBLF-PT-S02J06T06,300.09,300.11,0.999933357768818,67434205,67434205,1.0,0.003269,NONE
208,PhilosophersDyn-PT-20,300.0,300.01,0.9999666677777408,12961311,12961311,1.0,0.898661,NONE
324,BridgeAndVehicles-PT-V50P50N20,300.0,300.01,0.9999666677777408,271030410,271030410,1.0,0.112355,NONE
219,PhilosophersDyn-PT-20,300.0,300.01,0.9999666677777408,12961311,12961311,1.0,0.908913,NONE
345,DNAwalker-PT-15ringRRLarge,300.04,300.05,0.9999666722212964,757719925,757719925,1.0,0.000832,NONE
349,DNAwalker-PT-13ringRLLarge,300.04,300.05,0.9999666722212964,757841481,757841481,1.0,0.000834,NONE
41,MultiCrashLeafsetExtension-PT-S24C04,300.03,300.03,1.0,8411376,8411376,1.0,0.228917,NONE
115,MultiCrashLeafsetExtension-PT-S16C07,300.05,300.05,1.0,22679104,22679104,1.0,0.104671,NONE
290,BridgeAndVehicles-PT-V20P10N20,1.8,1.8,1.0,18072593,18072593,1.0,0.013423,TRUE
133,PolyORBLF-PT-S02J04T06,300.08,300.08,1.0,37411117,37411117,1.0,0.00259,NONE
25,MultiCrashLeafsetExtension-PT-S16C07,300.04,300.04,1.0,22681470,22681470,1.0,0.104211,NONE
151,TokenRing-PT-015,300.01,300.01,1.0,265182781,265182781,1.0,0.005135,NONE
215,PhilosophersDyn-PT-10,10.1,10.1,1.0,617306,617306,1.0,0.035292,FALSE
241,DNAwalker-PT-02track12Block2,30.03,30.03,1.0,18507,18507,1.0,6.7e-05,TRUE
353,DNAwalker-PT-12ringLLLarge,300.03,300.03,1.0,841282912,841282912,1.0,0.000863,NONE
213,PhilosophersDyn-PT-20,300.0,300.0,1.0,12961311,12961311,1.0,0.855741,NONE
160,PhilosophersDyn-PT-20,300.0,300.0,1.0,12961311,12961311,1.0,0.893219,NONE
350,DNAwalker-PT-13ringRLLarge,300.03,300.03,1.0,841282912,841282912,1.0,0.000831,NONE
206,NeighborGrid-PT-d5n4m1t35,3.17,3.17,1.0,200280065,200280065,1.0,300.0,FALSE
176,PhilosophersDyn-PT-20,300.0,300.0,1.0,12961311,12961311,1.0,0.883735,NONE
211,PhilosophersDyn-PT-20,300.0,300.0,1.0,12961311,12961311,1.0,0.853478,NONE
352,DNAwalker-PT-12ringLLLarge,300.04,300.04,1.0,757719925,757719925,1.0,0.000836,NONE
136,PolyORBLF-PT-S02J04T06,300.07,300.06,1.0000333266679997,44534389,44534389,1.0,0.002589,NONE
277,DNAwalker-PT-04track28LL,300.06,300.05,1.0000333277787035,435517643,435517643,1.0,0.000545,NONE
362,DNAwalker-PT-12ringLLLarge,300.04,300.03,1.0000333300003335,757841481,757841481,1.0,0.000839,NONE
346,DNAwalker-PT-14ringLRLarge,300.04,300.03,1.0000333300003335,757747304,757747304,1.0,0.000831,NONE
148,TokenRing-PT-015,300.01,300.0,1.0000333333333333,265182781,265182781,1.0,0.005102,NONE
140,PolyORBLF-PT-S02J04T06,300.09,300.07,1.0000666511147398,37689997,37689997,1.0,0.00258,NONE
411,DNAwalker-PT-07track28RR,176.52,176.46,1.000340020401224,230755064,230755064,1.0,0.000744,TRUE
83,TriangularGrid-PT-1200,20.12,20.11,1.0004972650422677,566713,566713,1.0,2.6e-05,TRUE
270,DNAwalker-PT-05track28LR,263.64,263.5,1.0005313092979127,151848497,151848497,1.0,0.000522,FALSE
157,SharedMemory-PT-000005,20.04,20.01,1.0014992503748126,10396,10396,1.0,6.1e-05,FALSE
417,DNAwalker-PT-08ringLL,41.75,41.68,1.001679462571977,11757413,11757413,1.0,0.000694,FALSE
119,PolyORBLF-PT-S02J06T06,11.09,11.07,1.0018066847335139,67610521,67610521,1.0,0.003279,FALSE
402,DNAwalker-PT-09ringLR,216.7,216.2,1.0023126734505088,197403653,197403653,1.0,0.000241,FALSE
233,PhilosophersDyn-PT-10,29.64,29.57,1.0023672641190395,617306,617306,1.0,0.034255,TRUE
398,DNAwalker-PT-08ringLL,31.06,30.98,1.0025823111684957,176407915,176407915,1.0,0.000245,TRUE
325,BridgeAndVehicles-PT-V50P50N10,22.49,22.42,1.0031222123104369,171927670,171927670,1.0,0.03415,TRUE
336,BridgeAndVehicles-PT-V20P20N10,6.4,6.38,1.0031347962382446,3575284,3575284,1.0,0.006405,TRUE
141,PolyORBLF-PT-S02J04T06,3.15,3.14,1.003184713375796,38941645,38941645,1.0,0.002576,FALSE
217,PhilosophersDyn-PT-10,9.03,9.0,1.0033333333333332,617306,617306,1.0,0.034313,TRUE
404,DNAwalker-PT-09ringLR,173.02,172.41,1.0035380778377125,188254723,188254723,1.0,0.00024,TRUE
218,PhilosophersDyn-PT-10,8.81,8.77,1.0045610034207526,617306,617306,1.0,0.034039,FALSE
340,DNAwalker-PT-04track28LL,105.72,105.22,1.0047519482988025,144465428,144465428,1.0,0.000733,TRUE
360,DNAwalker-PT-06track28RL,45.52,45.3,1.0048565121412805,217213855,217213855,1.0,0.000527,FALSE
421,DNAwalker-PT-08ringLL,241.15,239.92,1.0051267089029676,185437003,185437003,1.0,0.000243,TRUE
51,MultiCrashLeafsetExtension-PT-S24C03,33.92,33.71,1.006229605458321,1097076,1097076,1.0,0.158337,TRUE
159,SatelliteMemory-PT-X03000Y0094,1.6,1.59,1.0062893081761006,67510505,67510505,1.0,3e-05,TRUE
161,SatelliteMemory-PT-X03000Y0094,1.59,1.58,1.0063291139240507,67510505,67510505,1.0,2.9e-05,FALSE
232,NeighborGrid-PT-d5n4m1t35,4.53,4.5,1.0066666666666668,200280065,200280065,1.0,300.0,TRUE
227,Peterson-PT-4,29.46,29.23,1.0078686281217928,21066001,21066001,1.0,0.000979,TRUE
225,Peterson-PT-4,4.3,4.26,1.0093896713615023,24329781,24329781,1.0,0.000984,FALSE
131,PolyORBLF-PT-S02J04T06,7.21,7.14,1.0098039215686274,38484187,38484187,1.0,0.002566,FALSE
153,SimpleLoadBal-PT-10,41.04,40.63,1.0100910657149889,12182968,12182968,1.0,0.003509,TRUE
436,BusinessProcesses-PT-07,13.65,13.51,1.0103626943005182,11839873,11831553,1.0007032043891448,0.000746,TRUE
91,MultiCrashLeafsetExtension-PT-S16C06,10.3,10.19,1.0107948969578018,10799723,10799723,1.0,0.081243,FALSE
132,PolyORBLF-PT-S02J04T06,12.02,11.89,1.010933557611438,37411117,37411117,1.0,0.002579,FALSE
229,PermAdmissibility-PT-01,2.99,2.95,1.0135593220338983,17857,17857,1.0,0.001496,TRUE
154,SimpleLoadBal-PT-02,10.16,10.01,1.014985014985015,1443,1443,1.0,0.000142,TRUE
168,SafeBus-PT-06,115.77,113.91,1.0163286805372662,29904913,29904913,1.0,0.000826,TRUE
284,DNAwalker-PT-03track12BlockBoth,4.81,4.73,1.0169133192389004,17268,17268,1.0,6.5e-05,FALSE
276,DNAwalker-PT-04track28LL,163.72,160.87,1.01771616833468,144648940,144648940,1.0,0.000751,FALSE
120,PolyORBLF-PT-S02J06T06,11.25,11.03,1.0199456029011786,67541596,67541596,1.0,0.00326,TRUE
105,MultiCrashLeafsetExtension-PT-S16C05,4.41,4.3,1.0255813953488373,4024722,4024722,1.0,0.062382,FALSE
145,QuasiCertifProtocol-PT-10,2.76,2.69,1.0260223048327137,74308562,74308562,1.0,0.001425,FALSE
54,MultiCrashLeafsetExtension-PT-S24C03,47.16,45.83,1.0290202923849008,1097594,1097594,1.0,0.15807,TRUE
114,MultiCrashLeafsetExtension-PT-S16C04,24.33,23.61,1.0304955527318933,1135141,1135141,1.0,0.045744,FALSE
87,MultiCrashLeafsetExtension-PT-S16C04,21.57,20.85,1.0345323741007193,1136504,1136504,1.0,0.045509,TRUE
187,MultiCrashLeafsetExtension-PT-S32C03,3.89,3.76,1.0345744680851066,3388146,3388146,1.0,0.534155,FALSE
46,MultiCrashLeafsetExtension-PT-S24C04,25.0,24.09,1.03777501037775,8416214,8416214,1.0,0.228173,FALSE
198,MultiCrashLeafsetExtension-PT-S32C02,1.9,1.83,1.0382513661202184,211962,211962,1.0,0.345878,TRUE
267,DNAwalker-PT-05track28LR,42.77,41.06,1.0416463711641502,213528706,213528706,1.0,0.000734,FALSE
113,MultiCrashLeafsetExtension-PT-S16C04,21.64,20.76,1.0423892100192678,1135176,1135176,1.0,0.046108,TRUE
68,MAPKbis-PT-5320,16.87,16.17,1.0432900432900432,23117826,23117826,1.0,0.000417,TRUE
106,MultiCrashLeafsetExtension-PT-S16C05,31.73,30.41,1.0434067740874713,4031461,4031461,1.0,0.062409,TRUE
104,MultiCrashLeafsetExtension-PT-S16C05,16.35,15.61,1.0474055092889174,4024026,4024026,1.0,0.062814,FALSE
99,MultiCrashLeafsetExtension-PT-S16C06,63.55,60.43,1.051629985106735,10773228,10773228,1.0,0.081298,FALSE
92,MultiCrashLeafsetExtension-PT-S16C06,267.93,254.5,1.052770137524558,10789906,10789906,1.0,0.072816,TRUE
94,MultiCrashLeafsetExtension-PT-S16C06,60.55,57.51,1.0528603721091985,10764215,10764215,1.0,0.081586,FALSE
30,MultiCrashLeafsetExtension-PT-S24C03,5.25,4.98,1.0542168674698795,1100227,1100227,1.0,0.157523,TRUE
427,DNAwalker-PT-06track28RL,140.46,133.2,1.0545045045045047,142843408,142843408,1.0,0.00052,TRUE
45,MultiCrashLeafsetExtension-PT-S24C03,51.01,48.34,1.0552337608605709,1097168,1097168,1.0,0.158797,TRUE
32,MultiCrashLeafsetExtension-PT-S24C03,48.64,45.99,1.0576212220047836,1097139,1097139,1.0,0.158925,TRUE
67,MAPKbis-PT-5320,16.75,15.83,1.0581174984207202,48758786,48758786,1.0,0.000438,FALSE
452,DoubleExponent-PT-003,5.15,4.86,1.059670781893004,1360465,1272859,1.0688261622064974,0.000449,TRUE
73,MultiCrashLeafsetExtension-PT-S16C03,4.88,4.6,1.0608695652173914,226614,226614,1.0,0.033176,TRUE
66,MAPKbis-PT-5320,20.5,19.32,1.0610766045548654,23363586,23363586,1.0,0.000419,TRUE
57,MultiCrashLeafsetExtension-PT-S16C07,8.4,7.91,1.0619469026548674,22732085,22732085,1.0,0.103966,FALSE
96,MultiCrashLeafsetExtension-PT-S16C06,276.26,260.06,1.062293316926863,10786847,10786847,1.0,0.082243,FALSE
175,MultiCrashLeafsetExtension-PT-S32C02,7.02,6.6,1.0636363636363637,211977,211977,1.0,0.352142,FALSE
185,MultiCrashLeafsetExtension-PT-S32C03,11.18,10.51,1.0637488106565176,3389759,3389759,1.0,0.529176,TRUE
103,MultiCrashLeafsetExtension-PT-S16C05,94.06,88.32,1.0649909420289856,4023278,4023278,1.0,0.062493,FALSE
5,MultiCrashLeafsetExtension-PT-S24C03,35.84,33.61,1.0663493008033325,1097050,1097050,1.0,0.158927,TRUE
23,MultiCrashLeafsetExtension-PT-S16C07,56.0,52.43,1.0680907877169559,22689088,22689088,1.0,0.10402,FALSE
50,MultiCrashLeafsetExtension-PT-S24C03,41.72,39.06,1.068100358422939,1097039,1097039,1.0,0.158848,FALSE
36,MultiCrashLeafsetExtension-PT-S24C04,33.04,30.88,1.0699481865284974,8412840,8412840,1.0,0.229458,TRUE
69,MAPKbis-PT-5320,42.63,39.84,1.0700301204819276,48758786,48758786,1.0,0.00043,TRUE
95,MultiCrashLeafsetExtension-PT-S16C06,206.29,192.26,1.072974097576199,10781277,10781277,1.0,0.081211,TRUE
26,MultiCrashLeafsetExtension-PT-S16C07,43.46,40.34,1.0773425880019831,22726546,22726546,1.0,0.103968,TRUE
117,MultiCrashLeafsetExtension-PT-S32C02,4.54,4.21,1.0783847980997625,211962,211962,1.0,0.346983,FALSE
28,MultiCrashLeafsetExtension-PT-S16C07,43.02,39.53,1.0882873766759424,22680359,22680359,1.0,0.103809,TRUE
110,MultiCrashLeafsetExtension-PT-S16C05,16.58,15.18,1.0922266139657444,4025790,4025790,1.0,0.061841,TRUE
199,MultiCrashLeafsetExtension-PT-S32C02,4.52,4.12,1.0970873786407767,211962,211962,1.0,0.347787,TRUE
58,MultiCrashLeafsetExtension-PT-S24C04,1.06,0.96,1.1041666666666667,8415998,8415998,1.0,0.242415,TRUE
90,MultiCrashLeafsetExtension-PT-S32C02,2.36,2.13,1.107981220657277,211962,211962,1.0,0.349529,FALSE
108,MultiCrashLeafsetExtension-PT-S16C05,2.87,2.52,1.1388888888888888,4028223,4028223,1.0,0.062373,FALSE
29,MultiCrashLeafsetExtension-PT-S16C07,1.37,1.19,1.1512605042016808,22695619,22695619,1.0,0.103598,TRUE
33,MultiCrashLeafsetExtension-PT-S24C03,2.3,1.99,1.1557788944723617,1097297,1097297,1.0,0.158714,TRUE
440,BusinessProcesses-PT-07,17.38,14.51,1.1977946243969675,114301697,114128641,1.0015163240224687,0.000768,FALSE
188,MultiCrashLeafsetExtension-PT-S32C03,2.19,1.79,1.223463687150838,3388041,3388041,1.0,0.551282,FALSE
156,SharedMemory-PT-000100,2.56,2.07,1.2367149758454108,19801,19801,1.0,6.89662,TRUE
31,MultiCrashLeafsetExtension-PT-S24C03,1.06,0.85,1.2470588235294118,1097216,1097216,1.0,0.158482,FALSE
457,UtahNoC-PT-none,136.58,106.73,1.2796776913707486,144644737,81135725,1.7827502866339089,0.005064,FALSE
444,ASLink-PT-01a,1.02,0.77,1.3246753246753247,45764839,45441557,1.0071142368647272,0.00275,TRUE
312,BridgeAndVehicles-PT-V20P10N50,1.46,1.07,1.3644859813084111,31785879,31785879,1.0,0.068114,TRUE
184,MultiCrashLeafsetExtension-PT-S32C03,2.49,1.63,1.5276073619631905,3388869,3388869,1.0,0.532228,FALSE
456,CloudDeployment-PT-4a,9.07,5.54,1.6371841155234657,9710086,5499474,1.7656390411155685,0.004334,TRUE
42,MultiCrashLeafsetExtension-PT-S24C04,1.72,1.05,1.638095238095238,8413322,8413322,1.0,0.227297,TRUE
458,CloudDeployment-PT-5a,120.76,70.96,1.7018038331454344,463833046,229431505,2.0216623954935917,0.007438,TRUE
158,ServersAndClients-PT-400080,1.57,0.91,1.7252747252747254,32884,32884,1.0,0.797235,FALSE
451,ASLink-PT-01b,2.9,1.66,1.7469879518072289,46020435,44131183,1.042809910624875,0.00434,FALSE
186,MultiCrashLeafsetExtension-PT-S32C03,1.74,0.91,1.912087912087912,3388012,3388012,1.0,0.531283,FALSE
468,CloudReconfiguration-PT-306,1.51,0.78,1.935897435897436,1592715,186455,8.542087903247433,0.029665,TRUE
464,CloudReconfiguration-PT-310,1.79,0.85,2.1058823529411765,9214661,1253150,7.353198739177273,0.031894,FALSE
465,CloudReconfiguration-PT-305,1.33,0.57,2.3333333333333335,4581864,590853,7.754659788475306,0.029752,TRUE
466,CloudReconfiguration-PT-310,13.85,2.56,5.41015625,10781189,1381501,7.803967568608347,0.03635,TRUE
475,CloudReconfiguration-PT-401,22.61,3.78,5.981481481481482,676642198,46915767,14.422490375144031,0.048648,FALSE
471,CloudReconfiguration-PT-303,1.46,0.24,6.083333333333333,1251141,139201,8.988017327461728,0.029746,FALSE
473,CloudReconfiguration-PT-311,3.61,0.54,6.685185185185184,2812376,292124,9.627336336624174,0.029316,FALSE
449,ASLink-PT-01b,1.93,0.27,7.148148148148147,38435999,36987131,1.0391722191158865,0.004294,FALSE
474,CloudReconfiguration-PT-314,6.74,0.92,7.326086956521739,5689606,541733,10.50260183522141,0.032814,TRUE
203,NQueens-PT-20,1.06,0.08,13.25,123,123,1.0,0.000644,TRUE
478,HealthRecord-PT-07,4.15,0.29,14.31034482758621,13204078,118548,111.38170192664575,0.002407,FALSE
204,NQueens-PT-30,1.07,0.07,15.285714285714285,2,2,1.0,0.001562,FALSE
480,HealthRecord-PT-10,4.5,0.29,15.517241379310345,846671867,159651,5303.266919718636,0.001922,FALSE
479,HealthRecord-PT-07,3.8,0.17,22.352941176470587,56294869,383089,146.9498445530934,0.001887,TRUE
462,CloudReconfiguration-PT-302,2.68,0.04,67.0,6291726,955629,6.58385838018729,0.029954,FALSE
459,ShieldRVt-PT-004B,10.01,0.06,166.83333333333334,31245062,13206915,2.365810789272135,0.000477,FALSE
